Command:,/Users/martin/source/executables/vxtractor.pl -h HMMs/bacteria/ -c testfile.output.csv -o testfile.output.fasta testfile.fasta
Options:,Don't include HMM in fasta
Sequence,V01leftlong,V01leftshort,V01rightlong,V01rightshort,V02leftlong,V02leftshort,V02rightlong,V02rightshort,V03leftlong,V03leftshort,V03rightlong,V03rightshort,V04leftlong,V04leftshort,V04rightlong,V04rightshort,V05leftlong,V05leftshort,V05rightlong,V05rightshort,V06leftlong,V06leftshort,V06rightlong,V06rightshort,V07leftlong,V07leftshort,V07rightlong,V07rightshort,V08leftlong,V08leftshort,V08rightlong,V08rightshort,V09leftlong,V09leftshort,V09rightlong,V09rightshort,V10leftlong,V10leftshort,V10rightlong,V10rightshort,V11leftlong,V11leftshort,V11rightlong,V11rightshort,V12leftlong,V12leftshort,V12rightlong,V12rightshort,V13leftlong,V13leftshort,V13rightlong,V13rightshort,V14leftlong,V14leftshort,V14rightlong,V14rightshort,V15leftlong,V15leftshort,V15rightlong,V15rightshort,V16leftlong,V16leftshort,V16rightlong,V16rightshort,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16
"'CP000086.3328292.3331172","'1-58","'13-58","'187-251","'187-251","'187-251","'187-251","'288-333","'288-333","'288-333","'288-333","'441-501","'441-501","'441-501","'441-501","'661-729","'661-729","'661-729","'661-729","'757-817","'757-817","'757-817","'757-817","'933-1002","'933-1002","'933-1002","'933-1002","'1043-1103","'1043-1103","'1043-1103","'1043-1103","'1221-1276","'1221-1276","'1221-1276","'1221-1276","'1298-1345","'1298-1345","'1298-1345","'1298-1345","'1413-1457","'1413-1457","'1413-1457","'1413-1457","'1651-1688","'1651-1688","'1651-1688","'1651-1688","'1876-1949","'1876-1949","'1876-1949","'1876-1949","'2190-2245","'2190-2245","'2190-2245","'2190-2245","'2363-2412","'2363-2412","'2363-2412","'2363-2412","'2509-2580","'2509-2580","'2509-2580","'2509-2580","'2797-2880","'2797-2860","'59-186","'252-287","'334-440","'502-660","'730-756","'818-932","'1003-1042","'1104-1220","'1277-1297","'1346-1412","'1458-1650","'1689-1875","'1950-2189","'2246-2362","'2413-2508","'2581-2796","'"
"'CP000155.6369448.6372338","'1-58","'13-58","'188-252","'188-252","'188-252","'188-252","'286-331","'286-331","'286-331","'286-331","'430-491","'430-491","'430-491","'430-491","'653-721","'653-721","'653-721","'653-721","'749-809","'749-809","'749-809","'749-809","'924-993","'924-993","'924-993","'924-993","'1035-1095","'1035-1095","'1035-1095","'1035-1095","'1215-1270","'1215-1270","'1215-1270","'1215-1270","'1292-1339","'1292-1339","'1292-1339","'1292-1339","'1407-1451","'1407-1451","'1407-1451","'1407-1451","'1652-1689","'1652-1689","'1652-1689","'1652-1689","'1887-1960","'1887-1960","'1887-1960","'1887-1960","'2201-2256","'2201-2256","'2201-2256","'2201-2256","'2374-2423","'2374-2423","'2374-2423","'2374-2423","'2520-2591","'2520-2591","'2520-2591","'2520-2591","'2808-2891","'2808-2871","'59-187","'253-285","'332-429","'492-652","'722-748","'810-923","'994-1034","'1096-1214","'1271-1291","'1340-1406","'1452-1651","'1690-1886","'1961-2200","'2257-2373","'2424-2519","'2592-2807","'"
"'CP000253.495018.497940","'1-58","'13-58","'193-257","'193-257","'193-257","'193-257","'337-382","'337-382","'337-382","'337-382","'488-548","'488-548","'488-548","'488-548","'710-778","'710-778","'710-778","'710-778","'806-866","'806-866","'806-866","'806-866","'981-1050","'981-1050","'981-1050","'981-1050","'1092-1152","'1092-1152","'1092-1152","'1092-1152","'1269-1322","'1269-1322","'1269-1322","'1269-1322","'1344-1391","'1344-1391","'1344-1391","'1344-1391","'1466-1510","'1466-1510","'1466-1510","'1466-1510","'1708-1745","'1708-1745","'1708-1745","'1708-1745","'1927-2000","'1927-2000","'1927-2000","'1927-2000","'2241-2296","'2241-2296","'2241-2296","'2241-2296","'2414-2463","'2414-2463","'2414-2463","'2414-2463","'2560-2631","'2560-2631","'2560-2631","'2560-2631","'2841-2923","'2841-2904","'59-192","'258-336","'383-487","'549-709","'779-805","'867-980","'1051-1091","'1153-1268","'1323-1343","'1392-1465","'1511-1707","'1746-1926","'2001-2240","'2297-2413","'2464-2559","'2632-2840","'"
"'CP000255.514809.517731","'1-58","'13-58","'193-257","'193-257","'193-257","'193-257","'337-382","'337-382","'337-382","'337-382","'488-548","'488-548","'488-548","'488-548","'710-778","'710-778","'710-778","'710-778","'806-866","'806-866","'806-866","'806-866","'981-1050","'981-1050","'981-1050","'981-1050","'1092-1152","'1092-1152","'1092-1152","'1092-1152","'1269-1322","'1269-1322","'1269-1322","'1269-1322","'1344-1391","'1344-1391","'1344-1391","'1344-1391","'1466-1510","'1466-1510","'1466-1510","'1466-1510","'1708-1745","'1708-1745","'1708-1745","'1708-1745","'1927-2000","'1927-2000","'1927-2000","'1927-2000","'2241-2296","'2241-2296","'2241-2296","'2241-2296","'2414-2463","'2414-2463","'2414-2463","'2414-2463","'2560-2631","'2560-2631","'2560-2631","'2560-2631","'2841-2923","'2841-2904","'59-192","'258-336","'383-487","'549-709","'779-805","'867-980","'1051-1091","'1153-1268","'1323-1343","'1392-1465","'1511-1707","'1746-1926","'2001-2240","'2297-2413","'2464-2559","'2632-2840","'"
"'CP000259.1568486.1571384","'1-56","'11-56","'184-248","'184-248","'184-248","'184-248","'322-367","'322-367","'322-367","'322-367","'473-533","'473-533","'473-533","'473-533","'696-764","'696-764","'696-764","'696-764","'792-852","'792-852","'792-852","'792-852","'968-1037","'968-1037","'968-1037","'968-1037","'1079-1140","'1079-1140","'1079-1140","'1079-1140","'1258-1312","'1258-1312","'1258-1312","'1258-1312","'1334-1381","'1334-1381","'1334-1381","'1334-1381","'1449-1493","'1449-1493","'1449-1493","'1449-1493","'1694-1731","'1694-1731","'1694-1731","'1694-1731","'1901-1974","'1901-1974","'1901-1974","'1901-1974","'2215-2270","'2215-2270","'2215-2270","'2215-2270","'2388-2437","'2388-2437","'2388-2437","'2388-2437","'2534-2605","'2534-2605","'2534-2605","'2534-2605","'2819-2899","'2819-2882","'57-183","'249-321","'368-472","'534-695","'765-791","'853-967","'1038-1078","'1141-1257","'1313-1333","'1382-1448","'1494-1693","'1732-1900","'1975-2214","'2271-2387","'2438-2533","'2606-2818","'"
"'CP000266.3826834.3829737","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'665-733","'665-733","'665-733","'665-733","'761-821","'761-821","'761-821","'761-821","'937-1006","'937-1006","'937-1006","'937-1006","'1048-1108","'1048-1108","'1048-1108","'1048-1108","'1230-1285","'1230-1285","'1230-1285","'1230-1285","'1307-1354","'1307-1354","'1307-1354","'1307-1354","'1422-1466","'1422-1466","'1422-1466","'1422-1466","'1664-1701","'1664-1701","'1664-1701","'1664-1701","'1900-1973","'1900-1973","'1900-1973","'1900-1973","'2214-2269","'2214-2269","'2214-2269","'2214-2269","'2387-2436","'2387-2436","'2387-2436","'2387-2436","'2533-2604","'2533-2604","'2533-2604","'2533-2604","'2821-2904","'2821-2884","'59-189","'255-293","'340-441","'504-664","'734-760","'822-936","'1007-1047","'1109-1229","'1286-1306","'1355-1421","'1467-1663","'1702-1899","'1974-2213","'2270-2386","'2437-2532","'2605-2820","'"
"'CP000312.109600.112493","'1-48","'3-48","'179-243","'179-243","'179-243","'179-243","'315-361","'315-361","'315-361","'315-361","'467-527","'467-527","'467-527","'467-527","'692-760","'692-760","'692-760","'692-760","'789-849","'789-849","'789-849","'789-849","'962-1031","'962-1031","'962-1031","'962-1031","'1073-1134","'1073-1134","'1073-1134","'1073-1134","'1252-1306","'1252-1306","'1252-1306","'1252-1306","'1328-1375","'1328-1375","'1328-1375","'1328-1375","'1449-1492","'1449-1492","'1449-1492","'1449-1492","'1688-1725","'1688-1725","'1688-1725","'1688-1725","'1895-1968","'1895-1968","'1895-1968","'1895-1968","'2210-2265","'2210-2265","'2210-2265","'2210-2265","'2383-2432","'2383-2432","'2383-2432","'2383-2432","'2529-2600","'2529-2600","'2529-2600","'2529-2600","'2813-2894","'2813-2876","'49-178","'244-314","'362-466","'528-691","'761-788","'850-961","'1032-1072","'1135-1251","'1307-1327","'1376-1448","'1493-1687","'1726-1894","'1969-2209","'2266-2382","'2433-2528","'2601-2812","'"
"'CP000312.119375.122277","'1-56","'11-56","'187-251","'187-251","'187-251","'187-251","'323-369","'323-369","'323-369","'323-369","'475-535","'475-535","'475-535","'475-535","'700-768","'700-768","'700-768","'700-768","'797-857","'797-857","'797-857","'797-857","'970-1039","'970-1039","'970-1039","'970-1039","'1081-1142","'1081-1142","'1081-1142","'1081-1142","'1260-1314","'1260-1314","'1260-1314","'1260-1314","'1336-1383","'1336-1383","'1336-1383","'1336-1383","'1457-1500","'1457-1500","'1457-1500","'1457-1500","'1696-1733","'1696-1733","'1696-1733","'1696-1733","'1903-1976","'1903-1976","'1903-1976","'1903-1976","'2218-2273","'2218-2273","'2218-2273","'2218-2273","'2391-2440","'2391-2440","'2391-2440","'2391-2440","'2537-2608","'2537-2608","'2537-2608","'2537-2608","'2821-2903","'2821-2884","'57-186","'252-322","'370-474","'536-699","'769-796","'858-969","'1040-1080","'1143-1259","'1315-1335","'1384-1456","'1501-1695","'1734-1902","'1977-2217","'2274-2390","'2441-2536","'2609-2820","'"
"'CP000425.2277913.2280813","'1-58","'13-58","'189-253","'189-253","'189-253","'189-253","'326-371","'326-371","'326-371","'326-371","'477-537","'477-537","'477-537","'477-537","'700-768","'700-768","'700-768","'700-768","'796-856","'796-856","'796-856","'796-856","'972-1041","'972-1041","'972-1041","'972-1041","'1083-1143","'1083-1143","'1083-1143","'1083-1143","'1260-1314","'1260-1314","'1260-1314","'1260-1314","'1336-1383","'1336-1383","'1336-1383","'1336-1383","'1451-1493","'1451-1493","'1451-1493","'1451-1493","'1693-1730","'1693-1730","'1693-1730","'1693-1730","'1904-1977","'1904-1977","'1904-1977","'1904-1977","'2218-2273","'2218-2273","'2218-2273","'2218-2273","'2391-2440","'2391-2440","'2391-2440","'2391-2440","'2537-2608","'2537-2608","'2537-2608","'2537-2608","'2819-2901","'2819-2882","'59-188","'254-325","'372-476","'538-699","'769-795","'857-971","'1042-1082","'1144-1259","'1315-1335","'1384-1450","'1494-1692","'1731-1903","'1978-2217","'2274-2390","'2441-2536","'2609-2818","'"
"'CP000446.4672350.4675242","'1-58","'13-58","'188-252","'188-252","'188-252","'188-252","'286-331","'286-331","'286-331","'286-331","'431-492","'431-492","'431-492","'431-492","'655-723","'655-723","'655-723","'655-723","'751-811","'751-811","'751-811","'751-811","'926-995","'926-995","'926-995","'926-995","'1037-1097","'1037-1097","'1037-1097","'1037-1097","'1220-1275","'1220-1275","'1220-1275","'1220-1275","'1297-1344","'1297-1344","'1297-1344","'1297-1344","'1412-1456","'1412-1456","'1412-1456","'1412-1456","'1655-1692","'1655-1692","'1655-1692","'1655-1692","'1889-1962","'1889-1962","'1889-1962","'1889-1962","'2203-2258","'2203-2258","'2203-2258","'2203-2258","'2376-2425","'2376-2425","'2376-2425","'2376-2425","'2522-2593","'2522-2593","'2522-2593","'2522-2593","'2810-2893","'2810-2873","'59-187","'253-285","'332-430","'493-654","'724-750","'812-925","'996-1036","'1098-1219","'1276-1296","'1345-1411","'1457-1654","'1693-1888","'1963-2202","'2259-2375","'2426-2521","'2594-2809","'"
"'CP000462.3951807.3954702","'1-58","'13-58","'191-255","'191-255","'191-255","'191-255","'289-335","'289-335","'289-335","'289-335","'435-496","'435-496","'435-496","'435-496","'654-722","'654-722","'654-722","'654-722","'750-810","'750-810","'750-810","'750-810","'925-994","'925-994","'925-994","'925-994","'1036-1096","'1036-1096","'1036-1096","'1036-1096","'1216-1271","'1216-1271","'1216-1271","'1216-1271","'1293-1340","'1293-1340","'1293-1340","'1293-1340","'1408-1452","'1408-1452","'1408-1452","'1408-1452","'1650-1687","'1650-1687","'1650-1687","'1650-1687","'1884-1957","'1884-1957","'1884-1957","'1884-1957","'2199-2254","'2199-2254","'2199-2254","'2199-2254","'2372-2421","'2372-2421","'2372-2421","'2372-2421","'2518-2589","'2518-2589","'2518-2589","'2518-2589","'2806-2889","'2806-2869","'59-190","'256-288","'336-434","'497-653","'723-749","'811-924","'995-1035","'1097-1215","'1272-1292","'1341-1407","'1453-1649","'1688-1883","'1958-2198","'2255-2371","'2422-2517","'2590-2805","'"
"'CP000469.52805.55697","'1-58","'13-58","'188-252","'188-252","'188-252","'188-252","'286-331","'286-331","'286-331","'286-331","'431-492","'431-492","'431-492","'431-492","'655-723","'655-723","'655-723","'655-723","'751-811","'751-811","'751-811","'751-811","'926-995","'926-995","'926-995","'926-995","'1037-1097","'1037-1097","'1037-1097","'1037-1097","'1220-1275","'1220-1275","'1220-1275","'1220-1275","'1297-1344","'1297-1344","'1297-1344","'1297-1344","'1412-1456","'1412-1456","'1412-1456","'1412-1456","'1655-1692","'1655-1692","'1655-1692","'1655-1692","'1889-1962","'1889-1962","'1889-1962","'1889-1962","'2203-2258","'2203-2258","'2203-2258","'2203-2258","'2376-2425","'2376-2425","'2376-2425","'2376-2425","'2522-2593","'2522-2593","'2522-2593","'2522-2593","'2810-2893","'2810-2873","'59-187","'253-285","'332-430","'493-654","'724-750","'812-925","'996-1036","'1098-1219","'1276-1296","'1345-1411","'1457-1654","'1693-1888","'1963-2202","'2259-2375","'2426-2521","'2594-2809","'"
"'CP000507.4277413.4280326","'1-58","'13-58","'188-252","'188-252","'188-252","'188-252","'286-331","'286-331","'286-331","'286-331","'431-492","'431-492","'431-492","'431-492","'655-723","'655-723","'655-723","'655-723","'751-811","'751-811","'751-811","'751-811","'926-995","'926-995","'926-995","'926-995","'1037-1097","'1037-1097","'1037-1097","'1037-1097","'1220-1275","'1220-1275","'1220-1275","'1220-1275","'1297-1344","'1297-1344","'1297-1344","'1297-1344","'1412-1456","'1412-1456","'1412-1456","'1412-1456","'1655-1692","'1655-1692","'1655-1692","'1655-1692","'1889-1962","'1889-1962","'1889-1962","'1889-1962","'2204-2259","'2204-2259","'2204-2259","'2204-2259","'2377-2426","'2377-2426","'2377-2426","'2377-2426","'2523-2594","'2523-2594","'2523-2594","'2523-2594","'2811-2894","'2811-2874","'59-187","'253-285","'332-430","'493-654","'724-750","'812-925","'996-1036","'1098-1219","'1276-1296","'1345-1411","'1457-1654","'1693-1888","'1963-2203","'2260-2376","'2427-2522","'2595-2810","'"
"'CP000507.57960.60873","'1-58","'13-58","'188-252","'188-252","'188-252","'188-252","'286-331","'286-331","'286-331","'286-331","'431-492","'431-492","'431-492","'431-492","'655-723","'655-723","'655-723","'655-723","'751-811","'751-811","'751-811","'751-811","'926-995","'926-995","'926-995","'926-995","'1037-1097","'1037-1097","'1037-1097","'1037-1097","'1220-1275","'1220-1275","'1220-1275","'1220-1275","'1297-1344","'1297-1344","'1297-1344","'1297-1344","'1412-1456","'1412-1456","'1412-1456","'1412-1456","'1655-1692","'1655-1692","'1655-1692","'1655-1692","'1889-1962","'1889-1962","'1889-1962","'1889-1962","'2204-2259","'2204-2259","'2204-2259","'2204-2259","'2377-2426","'2377-2426","'2377-2426","'2377-2426","'2523-2594","'2523-2594","'2523-2594","'2523-2594","'2811-2894","'2811-2874","'59-187","'253-285","'332-430","'493-654","'724-750","'812-925","'996-1036","'1098-1219","'1276-1296","'1345-1411","'1457-1654","'1693-1888","'1963-2203","'2260-2376","'2427-2522","'2595-2810","'"
"'CP000557.152129.155057","'1-58","'13-58","'192-256","'192-256","'192-256","'192-256","'337-383","'337-383","'337-383","'337-383","'489-549","'489-549","'489-549","'489-549","'712-780","'712-780","'712-780","'712-780","'808-868","'808-868","'808-868","'808-868","'983-1052","'983-1052","'983-1052","'983-1052","'1094-1154","'1094-1154","'1094-1154","'1094-1154","'1270-1325","'1270-1325","'1270-1325","'1270-1325","'1347-1394","'1347-1394","'1347-1394","'1347-1394","'1469-1514","'1469-1514","'1469-1514","'1469-1514","'1709-1746","'1709-1746","'1709-1746","'1709-1746","'1929-2002","'1929-2002","'1929-2002","'1929-2002","'2243-2298","'2243-2298","'2243-2298","'2243-2298","'2416-2465","'2416-2465","'2416-2465","'2416-2465","'2562-2633","'2562-2633","'2562-2633","'2562-2633","'2847-2929","'2847-2910","'59-191","'257-336","'384-488","'550-711","'781-807","'869-982","'1053-1093","'1155-1269","'1326-1346","'1395-1468","'1515-1708","'1747-1928","'2003-2242","'2299-2415","'2466-2561","'2634-2846","'"
"'CP000614.568057.570938","'1-58","'13-58","'187-251","'187-251","'187-251","'187-251","'289-334","'289-334","'289-334","'289-334","'442-502","'442-502","'442-502","'442-502","'662-730","'662-730","'662-730","'662-730","'758-818","'758-818","'758-818","'758-818","'934-1003","'934-1003","'934-1003","'934-1003","'1044-1104","'1044-1104","'1044-1104","'1044-1104","'1223-1278","'1223-1278","'1223-1278","'1223-1278","'1300-1347","'1300-1347","'1300-1347","'1300-1347","'1415-1459","'1415-1459","'1415-1459","'1415-1459","'1653-1690","'1653-1690","'1653-1690","'1653-1690","'1878-1951","'1878-1951","'1878-1951","'1878-1951","'2192-2247","'2192-2247","'2192-2247","'2192-2247","'2365-2414","'2365-2414","'2365-2414","'2365-2414","'2511-2582","'2511-2582","'2511-2582","'2511-2582","'2799-2882","'2799-2862","'59-186","'252-288","'335-441","'503-661","'731-757","'819-933","'1004-1043","'1105-1222","'1279-1299","'1348-1414","'1460-1652","'1691-1877","'1952-2191","'2248-2364","'2415-2510","'2583-2798","'"
"'CP000627.2482010.2484896","'1-58","'13-58","'188-252","'188-252","'188-252","'188-252","'286-331","'286-331","'286-331","'286-331","'431-492","'431-492","'431-492","'431-492","'653-721","'653-721","'653-721","'653-721","'749-809","'749-809","'749-809","'749-809","'924-993","'924-993","'924-993","'924-993","'1034-1094","'1034-1094","'1034-1094","'1034-1094","'1213-1268","'1213-1268","'1213-1268","'1213-1268","'1290-1337","'1290-1337","'1290-1337","'1290-1337","'1405-1449","'1405-1449","'1405-1449","'1405-1449","'1649-1686","'1649-1686","'1649-1686","'1649-1686","'1883-1956","'1883-1956","'1883-1956","'1883-1956","'2197-2252","'2197-2252","'2197-2252","'2197-2252","'2370-2419","'2370-2419","'2370-2419","'2370-2419","'2516-2587","'2516-2587","'2516-2587","'2516-2587","'2804-2887","'2804-2867","'59-187","'253-285","'332-430","'493-652","'722-748","'810-923","'994-1033","'1095-1212","'1269-1289","'1338-1404","'1450-1648","'1687-1882","'1957-2196","'2253-2369","'2420-2515","'2588-2803","'"
"'CP000727.50191.53092","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'325-371","'325-371","'325-371","'325-371","'477-537","'477-537","'477-537","'477-537","'701-769","'701-769","'701-769","'701-769","'798-858","'798-858","'798-858","'798-858","'973-1042","'973-1042","'973-1042","'973-1042","'1084-1145","'1084-1145","'1084-1145","'1084-1145","'1263-1317","'1263-1317","'1263-1317","'1263-1317","'1339-1386","'1339-1386","'1339-1386","'1339-1386","'1460-1503","'1460-1503","'1460-1503","'1460-1503","'1695-1732","'1695-1732","'1695-1732","'1695-1732","'1902-1975","'1902-1975","'1902-1975","'1902-1975","'2217-2272","'2217-2272","'2217-2272","'2217-2272","'2390-2439","'2390-2439","'2390-2439","'2390-2439","'2536-2607","'2536-2607","'2536-2607","'2536-2607","'2820-2902","'2820-2883","'59-189","'255-324","'372-476","'538-700","'770-797","'859-972","'1043-1083","'1146-1262","'1318-1338","'1387-1459","'1504-1694","'1733-1901","'1976-2216","'2273-2389","'2440-2535","'2608-2819","'"
"'CP000744.809091.811981","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'288-333","'288-333","'288-333","'288-333","'433-494","'433-494","'433-494","'433-494","'655-723","'655-723","'655-723","'655-723","'751-811","'751-811","'751-811","'751-811","'927-996","'927-996","'927-996","'927-996","'1038-1098","'1038-1098","'1038-1098","'1038-1098","'1217-1272","'1217-1272","'1217-1272","'1217-1272","'1294-1341","'1294-1341","'1294-1341","'1294-1341","'1409-1453","'1409-1453","'1409-1453","'1409-1453","'1654-1691","'1654-1691","'1654-1691","'1654-1691","'1887-1960","'1887-1960","'1887-1960","'1887-1960","'2201-2256","'2201-2256","'2201-2256","'2201-2256","'2374-2423","'2374-2423","'2374-2423","'2374-2423","'2520-2591","'2520-2591","'2520-2591","'2520-2591","'2808-2891","'2808-2871","'59-189","'255-287","'334-432","'495-654","'724-750","'812-926","'997-1037","'1099-1216","'1273-1293","'1342-1408","'1454-1653","'1692-1886","'1961-2200","'2257-2373","'2424-2519","'2592-2807","'"
"'CP000800.4505647.4508570","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'665-733","'665-733","'665-733","'665-733","'761-821","'761-821","'761-821","'761-821","'937-1006","'937-1006","'937-1006","'937-1006","'1048-1108","'1048-1108","'1048-1108","'1048-1108","'1230-1285","'1230-1285","'1230-1285","'1230-1285","'1307-1354","'1307-1354","'1307-1354","'1307-1354","'1422-1466","'1422-1466","'1422-1466","'1422-1466","'1664-1701","'1664-1701","'1664-1701","'1664-1701","'1900-1973","'1900-1973","'1900-1973","'1900-1973","'2214-2269","'2214-2269","'2214-2269","'2214-2269","'2387-2436","'2387-2436","'2387-2436","'2387-2436","'2533-2604","'2533-2604","'2533-2604","'2533-2604","'2821-2904","'2821-2884","'59-189","'255-293","'340-441","'504-664","'734-760","'822-936","'1007-1047","'1109-1229","'1286-1306","'1355-1421","'1467-1663","'1702-1899","'1974-2213","'2270-2386","'2437-2532","'2605-2820","'"
"'CP000802.225139.228041","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'665-733","'665-733","'665-733","'665-733","'761-821","'761-821","'761-821","'761-821","'937-1006","'937-1006","'937-1006","'937-1006","'1048-1108","'1048-1108","'1048-1108","'1048-1108","'1229-1284","'1229-1284","'1229-1284","'1229-1284","'1306-1353","'1306-1353","'1306-1353","'1306-1353","'1421-1465","'1421-1465","'1421-1465","'1421-1465","'1663-1700","'1663-1700","'1663-1700","'1663-1700","'1899-1972","'1899-1972","'1899-1972","'1899-1972","'2213-2268","'2213-2268","'2213-2268","'2213-2268","'2386-2435","'2386-2435","'2386-2435","'2386-2435","'2532-2603","'2532-2603","'2532-2603","'2532-2603","'2820-2903","'2820-2883","'59-189","'255-293","'340-441","'504-664","'734-760","'822-936","'1007-1047","'1109-1228","'1285-1305","'1354-1420","'1466-1662","'1701-1898","'1973-2212","'2269-2385","'2436-2531","'2604-2819","'"
"'CP000886.3525836.3528745","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'667-735","'667-735","'667-735","'667-735","'763-823","'763-823","'763-823","'763-823","'939-1008","'939-1008","'939-1008","'939-1008","'1050-1110","'1050-1110","'1050-1110","'1050-1110","'1232-1287","'1232-1287","'1232-1287","'1232-1287","'1309-1356","'1309-1356","'1309-1356","'1309-1356","'1424-1468","'1424-1468","'1424-1468","'1424-1468","'1668-1705","'1668-1705","'1668-1705","'1668-1705","'1904-1977","'1904-1977","'1904-1977","'1904-1977","'2218-2273","'2218-2273","'2218-2273","'2218-2273","'2391-2440","'2391-2440","'2391-2440","'2391-2440","'2537-2608","'2537-2608","'2537-2608","'2537-2608","'2825-2908","'2825-2888","'59-189","'255-293","'340-441","'504-666","'736-762","'824-938","'1009-1049","'1111-1231","'1288-1308","'1357-1423","'1469-1667","'1706-1903","'1978-2217","'2274-2390","'2441-2536","'2609-2824","'"
"'CP000934.1062041.1064930","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'288-333","'288-333","'288-333","'288-333","'433-494","'433-494","'433-494","'433-494","'655-723","'655-723","'655-723","'655-723","'751-811","'751-811","'751-811","'751-811","'926-995","'926-995","'926-995","'926-995","'1036-1096","'1036-1096","'1036-1096","'1036-1096","'1216-1271","'1216-1271","'1216-1271","'1216-1271","'1293-1340","'1293-1340","'1293-1340","'1293-1340","'1408-1452","'1408-1452","'1408-1452","'1408-1452","'1652-1689","'1652-1689","'1652-1689","'1652-1689","'1886-1959","'1886-1959","'1886-1959","'1886-1959","'2200-2255","'2200-2255","'2200-2255","'2200-2255","'2373-2422","'2373-2422","'2373-2422","'2373-2422","'2519-2590","'2519-2590","'2519-2590","'2519-2590","'2807-2890","'2807-2870","'59-189","'255-287","'334-432","'495-654","'724-750","'812-925","'996-1035","'1097-1215","'1272-1292","'1341-1407","'1453-1651","'1690-1885","'1960-2199","'2256-2372","'2423-2518","'2591-2806","'"
"'CP000948.2816068.2818971","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'665-733","'665-733","'665-733","'665-733","'761-821","'761-821","'761-821","'761-821","'937-1006","'937-1006","'937-1006","'937-1006","'1048-1108","'1048-1108","'1048-1108","'1048-1108","'1230-1285","'1230-1285","'1230-1285","'1230-1285","'1307-1354","'1307-1354","'1307-1354","'1307-1354","'1422-1466","'1422-1466","'1422-1466","'1422-1466","'1664-1701","'1664-1701","'1664-1701","'1664-1701","'1900-1973","'1900-1973","'1900-1973","'1900-1973","'2214-2269","'2214-2269","'2214-2269","'2214-2269","'2387-2436","'2387-2436","'2387-2436","'2387-2436","'2533-2604","'2533-2604","'2533-2604","'2533-2604","'2821-2904","'2821-2884","'59-189","'255-293","'340-441","'504-664","'734-760","'822-936","'1007-1047","'1109-1229","'1286-1306","'1355-1421","'1467-1663","'1702-1899","'1974-2213","'2270-2386","'2437-2532","'2605-2820","'"
"'CP000962.58798.61699","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'325-371","'325-371","'325-371","'325-371","'477-537","'477-537","'477-537","'477-537","'701-769","'701-769","'701-769","'701-769","'798-858","'798-858","'798-858","'798-858","'973-1042","'973-1042","'973-1042","'973-1042","'1084-1145","'1084-1145","'1084-1145","'1084-1145","'1263-1317","'1263-1317","'1263-1317","'1263-1317","'1339-1386","'1339-1386","'1339-1386","'1339-1386","'1460-1503","'1460-1503","'1460-1503","'1460-1503","'1695-1732","'1695-1732","'1695-1732","'1695-1732","'1902-1975","'1902-1975","'1902-1975","'1902-1975","'2217-2272","'2217-2272","'2217-2272","'2217-2272","'2390-2439","'2390-2439","'2390-2439","'2390-2439","'2536-2607","'2536-2607","'2536-2607","'2536-2607","'2820-2902","'2820-2883","'59-189","'255-324","'372-476","'538-700","'770-797","'859-972","'1043-1083","'1146-1262","'1318-1338","'1387-1459","'1504-1694","'1733-1901","'1976-2216","'2273-2389","'2440-2535","'2608-2819","'"
"'CP000970.4554549.4557452","'1-58","'13-58","'190-254","'190-254","'190-254","'190-254","'294-339","'294-339","'294-339","'294-339","'442-503","'442-503","'442-503","'442-503","'664-732","'664-732","'664-732","'664-732","'760-820","'760-820","'760-820","'760-820","'936-1005","'936-1005","'936-1005","'936-1005","'1047-1107","'1047-1107","'1047-1107","'1047-1107","'1228-1283","'1228-1283","'1228-1283","'1228-1283","'1305-1352","'1305-1352","'1305-1352","'1305-1352","'1420-1464","'1420-1464","'1420-1464","'1420-1464","'1662-1699","'1662-1699","'1662-1699","'1662-1699","'1900-1973","'1900-1973","'1900-1973","'1900-1973","'2214-2269","'2214-2269","'2214-2269","'2214-2269","'2387-2436","'2387-2436","'2387-2436","'2387-2436","'2533-2604","'2533-2604","'2533-2604","'2533-2604","'2821-2904","'2821-2884","'59-189","'255-293","'340-441","'504-663","'733-759","'821-935","'1006-1046","'1108-1227","'1284-1304","'1353-1419","'1465-1661","'1700-1899","'1974-2213","'2270-2386","'2437-2532","'2605-2820","'"
